Refer to https://github.com/lutherastrophysics/new_ref_file for more info
Star Data Extractor Tool
    Images: m23_3.5_071.fit (2003) and m23_7.0_2022-06-19_0028.fit
    Stars Found: 2508 (good stars) in 2003 img + 1246 in 2022
    Radius of star diaphragm:
    Sky annulus inner radius:
    Sky annulus outer radius:
    Threshold factor: High =
         X	         Y	     Sigma	      FWHM	   Sky ADU	  Star ADU
     25.25	    913.28	      2.17	      5.11	    692.10	   2960.50
    660.79	    423.49	      1.58	      3.72	    727.40	   2952.60
    703.01	   1005.31	      2.16	      5.07	    698.60	   2951.50
    318.32	    646.66	      2.69	      6.33	    724.50	   2950.40
    111.12	     71.73	      2.04	      4.80	    705.90	   2949.20
    475.04	    658.29	      2.59	      6.09	    731.00	   2948.50
    563.68	    804.06	      1.84	      4.31	    713.10	   2948.40
    414.11	    415.70	      1.78	      4.19	    750.00	   2947.20
    475.04	    658.29	      2.59	      6.08	    731.00	   2942.70
     31.92	    116.22	      1.95	      4.59	    703.70	   2942.10
    563.78	    804.13	      1.83	      4.29	    713.20	   2940.50
    394.15	    790.62	      2.01	      4.73	    719.30	   2937.60
    994.23	    391.74	      1.29	      3.04	    701.20	   2932.10
    318.48	    646.81	      2.64	      6.21	    724.80	   2929.40
     25.53	    913.10	      2.31	      5.42	    692.30	   2929.10
    613.89	    504.32	      1.39	      3.26	    733.70	   2929.00
    591.28	    457.74	      1.49	      3.50	    737.60	   2926.80
    613.94	    504.50	      1.40	      3.30	    733.70	   2920.70
    852.00	    900.42	      1.56	      3.66	    697.80	   2915.90
    734.57	    301.45	      1.84	      4.33	    718.10	   2915.00
    254.94	    925.22	      1.86	      4.37	    699.90	   2913.90
    668.83	    311.59	      1.43	      3.36	    726.50	   2912.50
    450.69	    864.48	      1.68	      3.94	    715.00	   2907.80
    464.98	    137.03	      1.57	      3.69	    712.10	   2903.60
    345.05	    196.35	      1.75	      4.12	    721.20	   2901.30
    326.90	    993.74	      2.55	      5.99	    705.70	   2898.80
    574.19	    921.00	      2.25	      5.29	    712.70	   2897.80
    734.45	    301.50	      1.84	      4.33	    718.40	   2896.20
    326.90	    993.74	      2.55	      5.99	    705.70	   2896.10
    171.58	    434.06	      1.75	      4.12	    725.80	   2890.50
    881.07	    883.61	      1.59	      3.73	    699.60	   2886.20
    510.76	    604.99	      1.63	      3.84	    739.40	   2885.20
    357.05	    306.39	      1.69	      3.97	    725.60	   2879.80
    510.76	    604.99	      1.64	      3.85	    739.60	   2874.20
    456.52	    551.50	      1.96	      4.62	    740.00	   2869.60
    559.08	    940.90	      1.63	      3.83	    705.40	   2868.10
     58.31	    280.88	      2.07	      4.87	    711.50	   2860.40
    428.11	    530.85	      2.36	      5.55	    739.80	   2860.00
    364.35	    749.00	      1.86	      4.36	    714.20	   2857.30
    277.16	    155.13	      2.94	      6.90	    724.00	   2854.70
    821.30	    348.78	      1.29	      3.04	    713.90	   2854.60
    628.51	    411.01	      2.09	      4.90	    730.50	   2852.60
    293.09	    673.91	      1.83	      4.30	    720.80	   2851.10
    220.04	    695.02	      2.71	      6.37	    720.40	   2850.70
    232.16	    983.06	      1.92	      4.50	    698.40	   2843.30
    255.53	    156.84	      1.63	      3.82	    725.70	   2840.30
    319.34	    628.90	      1.81	      4.26	    730.00	   2839.30
    317.13	    305.99	      2.12	      4.98	    737.90	   2836.00
    340.31	     62.05	      1.72	      4.05	    713.80	   2832.40
    951.76	    713.17	      1.45	      3.41	    702.50	   2829.70
    197.12	    277.07	      2.45	      5.77	    729.90	   2828.70
    770.95	    982.90	      1.59	      3.75	    701.30	   2828.50
    908.01	    761.26	      1.46	      3.43	    704.30	   2825.30
    668.68	    311.93	      1.27	      2.98	    727.20	   2819.00
    628.72	    410.99	      2.05	      4.81	    730.80	   2811.50
    736.52	    653.90	      1.44	      3.38	    720.90	   2809.50
    634.65	    818.92	      1.72	      4.03	    714.20	   2804.50
    185.95	     64.99	      2.56	      6.01	    709.10	   2802.20
    661.96	    200.01	      1.41	      3.31	    727.00	   2800.10
    660.61	    423.81	      1.54	      3.62	    727.60	   2792.90
    495.08	    657.25	      1.36	      3.19	    732.20	   2786.50
    574.28	    920.92	      2.30	      5.40	    713.90	   2778.70
    845.24	    918.80	      1.71	      4.01	    698.50	   2777.50
    542.97	    358.50	      3.12	      7.33	    727.60	   2776.40
     16.39	    902.76	      2.04	      4.79	    700.40	   2771.80
    660.52	    423.62	      1.56	      3.67	    727.80	   2769.70
     81.04	    892.64	      2.12	      4.99	    697.60	   2768.10
    272.04	    225.36	      1.66	      3.90	    739.20	   2766.60
    861.67	    108.86	      1.49	      3.49	    700.00	   2760.80
    690.53	    428.09	      1.65	      3.89	    734.50	   2760.60
    255.86	    156.68	      1.63	      3.84	    726.10	   2754.20
    710.73	    506.81	      2.02	      4.74	    729.00	   2749.70
    749.95	    716.93	      1.64	      3.85	    717.20	   2747.30
    481.53	    758.34	      2.37	      5.57	    729.30	   2743.90
    469.54	     23.81	      2.39	      5.61	    705.80	   2743.60
    481.46	    758.11	      2.42	      5.70	    729.50	   2742.80
    559.51	    940.42	      1.70	      3.99	    706.40	   2734.30
    803.87	    191.45	      1.45	      3.41	    705.70	   2731.60
    337.82	    747.83	      2.03	      4.76	    715.70	   2730.40
    216.21	    528.81	      1.82	      4.27	    722.30	   2728.80
    255.93	    156.56	      1.65	      3.88	    726.30	   2725.40
    251.60	    686.71	      1.71	      4.03	    722.50	   2724.20
    460.04	    572.71	      2.04	      4.80	    735.50	   2722.80
    251.61	    686.47	      1.75	      4.11	    722.40	   2722.40
    658.50	    712.84	      1.74	      4.08	    718.30	   2721.50
    681.97	    401.36	      1.40	      3.30	    734.70	   2720.40
    460.04	    572.93	      2.04	      4.80	    735.30	   2720.30
    826.71	    539.12	      1.35	      3.16	    712.20	   2719.70
    586.97	    999.94	      1.61	      3.79	    702.70	   2719.30
     16.30	    902.58	      2.05	      4.82	    700.40	   2717.00
    655.74	    563.98	      2.44	      5.73	    728.70	   2715.10
    114.82	    224.28	      2.16	      5.08	    720.40	   2714.00
     37.03	    288.97	      1.90	      4.46	    709.30	   2711.50
    288.50	    361.89	      1.70	      4.00	    739.20	   2707.20
    542.97	    358.39	      2.89	      6.79	    727.50	   2706.30
    172.49	    318.44	      1.99	      4.67	    725.10	   2701.50
    481.30	    758.35	      2.25	      5.30	    729.40	   2699.70
    980.10	    146.65	      2.36	      5.54	    697.40	   2697.20
    596.30	    530.11	      1.45	      3.41	    732.30	   2695.40
    911.31	    475.11	      1.25	      2.94	    704.40	   2692.90
    447.54	    471.11	      1.70	      3.99	    749.90	   2692.20
    725.19	    629.76	      1.47	      3.45	    738.60	   2689.30
    347.07	    436.46	      2.53	      5.94	    760.20	   2684.20
    711.51	    714.97	      1.54	      3.61	    715.80	   2679.50
    544.74	    594.91	      1.77	      4.16	    732.70	   2677.80
    103.30	    491.62	      2.16	      5.07	    719.20	   2676.70
    407.34	    758.97	      1.66	      3.89	    721.00	   2668.70
    154.99	    849.97	      1.91	      4.49	    703.60	   2667.10
    151.18	    596.52	      2.58	      6.05	    724.90	   2666.60
    374.01	    148.64	      2.44	      5.73	    723.00	   2663.40
    553.59	    470.33	      1.86	      4.38	    746.80	   2656.80
    980.19	    146.81	      2.39	      5.62	    697.80	   2653.60
    880.93	    386.05	      1.40	      3.29	    708.70	   2651.40
    949.65	    134.95	      1.50	      3.53	    701.90	   2651.00
    715.35	    797.06	      1.54	      3.63	    708.10	   2647.50
    574.47	    113.49	      1.60	      3.75	    723.60	   2645.90
    902.72	    226.30	      1.53	      3.59	    701.20	   2643.70
    141.01	    156.33	      2.05	      4.83	    717.10	   2642.70
    491.06	    598.98	      1.83	      4.30	    733.80	   2641.70
    837.83	    477.63	      1.53	      3.61	    714.20	   2639.30
    720.59	    269.41	      1.37	      3.21	    717.80	   2634.50
    747.14	    747.90	      2.78	      6.53	    713.50	   2633.70
    698.18	     65.84	      1.69	      3.97	    709.60	   2629.70
     31.22	    737.45	      2.05	      4.82	    704.70	   2627.80
    196.27	    586.14	      1.95	      4.58	    723.80	   2626.30
    415.83	    519.21	      1.63	      3.82	    738.30	   2619.90
   1002.93	    896.38	      2.55	      5.99	    692.10	   2614.90
    832.55	    397.19	      1.45	      3.41	    718.00	   2606.40
    403.83	    489.22	      2.36	      5.55	    748.80	   2604.50
    554.46	    585.53	      1.70	      3.99	    740.80	   2602.00
    158.07	    728.66	      2.97	      6.98	    707.30	   2601.20
    639.03	    138.07	      1.60	      3.76	    714.10	   2594.80
    415.04	    105.59	      2.22	      5.22	    714.60	   2594.30
    167.12	    497.63	      1.96	      4.60	    715.40	   2592.50
    894.98	    303.09	      1.39	      3.26	    707.20	   2589.80
    789.00	    694.05	      1.28	      3.00	    714.90	   2589.10
    190.88	    508.73	      2.27	      5.34	    721.20	   2586.40
    407.17	    867.25	      2.48	      5.82	    714.90	   2583.10
    789.00	    694.04	      1.27	      3.00	    715.00	   2581.50
    592.00	    517.94	      1.29	      3.03	    732.30	   2579.00
    529.60	    952.41	      1.76	      4.14	    705.00	   2576.80
    652.01	    820.93	      1.90	      4.46	    706.60	   2570.10
    834.48	    738.53	      1.71	      4.02	    707.20	   2568.60
    838.85	    872.18	      2.18	      5.11	    705.60	   2567.90
    303.11	    644.05	      1.83	      4.31	    721.10	   2566.50
    960.18	    442.93	      1.31	      3.08	    703.10	   2566.00
    245.89	    645.76	      2.70	      6.35	    726.80	   2563.80
    302.28	    959.10	      1.79	      4.21	    704.50	   2563.70
    865.90	    325.49	      1.93	      4.54	    711.60	   2563.40
    326.52	    916.90	      1.96	      4.60	    712.10	   2560.90
    448.75	    151.07	      1.57	      3.69	    717.00	   2559.40
    318.11	     74.37	      1.77	      4.16	    713.50	   2557.80
    163.96	    603.43	      2.23	      5.25	    722.90	   2556.50
    448.75	    151.07	      1.57	      3.69	    717.00	   2556.00
    709.74	    447.01	      2.73	      6.40	    732.10	   2552.70
    574.99	    938.03	      2.57	      6.04	    699.40	   2550.30
    278.56	    608.13	      2.52	      5.92	    728.50	   2549.20
    832.46	    397.14	      1.41	      3.32	    718.10	   2547.80
    135.20	    785.60	      2.52	      5.93	    712.00	   2546.60
    194.56	    198.56	      1.87	      4.39	    723.00	   2545.70
    554.04	    514.68	      1.36	      3.19	    746.50	   2544.80
    245.78	    645.78	      2.67	      6.26	    727.00	   2544.30
    784.97	    879.95	      1.74	      4.09	    703.70	   2540.30
     90.02	    797.02	      2.02	      4.74	    702.80	   2534.10
    135.06	    785.65	      2.60	      6.12	    712.30	   2529.30
    946.84	    104.52	      1.63	      3.83	    694.60	   2527.30
    853.25	    859.12	      1.89	      4.45	    703.80	   2526.20
    162.37	    292.16	      1.78	      4.18	    726.80	   2525.00
    135.06	    785.64	      2.60	      6.11	    712.40	   2522.70
    633.88	    562.19	      1.32	      3.11	    735.80	   2520.40
    709.93	    447.01	      2.71	      6.38	    732.40	   2519.90
    553.46	    470.46	      1.89	      4.44	    746.90	   2516.00
    280.95	    316.79	      2.80	      6.58	    735.00	   2514.40
   1001.86	    461.44	      2.15	      5.06	    701.20	   2509.70
    865.94	    325.19	      1.88	      4.43	    711.80	   2507.20
    373.99	    148.98	      2.67	      6.26	    723.90	   2504.50
     49.37	    367.57	      2.24	      5.25	    714.10	   2501.70
    414.04	    161.04	      1.62	      3.82	    716.00	   2499.30
    264.06	    749.44	      1.87	      4.39	    713.70	   2495.60
    660.59	    189.12	      1.81	      4.25	    717.10	   2489.60
    739.31	    300.09	      2.30	      5.40	    718.10	   2484.90
    519.05	    930.91	      2.01	      4.72	    705.90	   2477.00
    271.88	    892.33	      2.54	      5.97	    710.10	   2472.80
    769.91	     77.46	      1.52	      3.56	    704.80	   2471.10
    147.63	    561.26	      2.85	      6.70	    711.90	   2468.70
   1001.81	    461.16	      2.07	      4.88	    701.20	   2467.80
   1001.83	    461.15	      2.07	      4.86	    701.20	   2463.20
    638.02	    418.96	      1.32	      3.11	    730.50	   2458.00
    177.83	    221.07	      1.86	      4.37	    741.80	   2455.00
    647.11	    596.06	      2.39	      5.61	    728.30	   2451.60
    100.25	     92.81	      1.80	      4.22	    709.30	   2449.60
    271.87	    892.19	      2.44	      5.74	    710.50	   2446.40
    720.22	    102.22	      1.63	      3.83	    709.20	   2446.30
    317.76	    121.87	      2.44	      5.73	    719.60	   2443.30
    446.29	     33.80	      1.64	      3.86	    706.40	   2443.20
    100.26	     92.81	      1.79	      4.21	    709.40	   2442.40
    203.62	    101.81	      2.28	      5.35	    715.50	   2435.10
    588.65	    639.06	      1.82	      4.28	    734.70	   2435.10
    606.23	    942.26	      1.85	      4.35	    703.40	   2433.80
    147.82	    561.22	      2.99	      7.02	    711.90	   2433.80
    403.06	    928.95	      1.83	      4.31	    714.00	   2432.90
    300.83	    479.85	      1.93	      4.54	    752.40	   2431.10
    147.80	    561.39	      2.97	      6.98	    711.90	   2427.40
    261.81	    947.23	      2.22	      5.22	    703.10	   2424.40
    108.23	    681.18	      1.83	      4.30	    712.80	   2422.60
    796.70	    451.93	      1.39	      3.27	    718.10	   2415.60
    789.31	    362.07	      1.54	      3.62	    714.90	   2415.40
    269.46	    867.89	      2.12	      4.99	    709.00	   2414.60
    819.91	    994.05	      2.30	      5.41	    695.60	   2414.00
    706.71	    366.93	      1.38	      3.23	    721.00	   2408.30
    462.70	    876.90	      1.92	      4.51	    708.70	   2405.00
    393.52	    639.07	      1.98	      4.65	    735.60	   2404.20
    108.01	    935.91	      1.90	      4.46	    707.40	   2403.90
    439.89	    921.72	      1.96	      4.60	    705.60	   2402.70
    160.56	    812.93	      2.15	      5.06	    706.90	   2398.50
    375.94	     32.80	      1.63	      3.83	    711.50	   2394.40
    241.13	    994.21	      1.73	      4.07	    700.30	   2390.90
    393.39	    639.09	      1.96	      4.60	    735.80	   2385.00
    338.66	    249.88	      2.04	      4.79	    723.40	   2384.10
    969.97	    747.65	      2.10	      4.93	    703.70	   2381.50
    160.43	    813.02	      2.12	      4.99	    707.00	   2380.00
    308.86	    717.79	      2.92	      6.87	    719.30	   2379.60
    125.98	    551.98	      2.17	      5.11	    709.50	   2377.00
    363.33	    821.61	      2.72	      6.38	    714.00	   2375.30
    581.50	    847.30	      1.77	      4.15	    712.90	   2372.80
    579.57	    299.12	      1.55	      3.63	    721.50	   2368.00
    171.70	    550.73	      2.49	      5.85	    720.00	   2365.40
    631.18	    514.37	      2.02	      4.75	    732.50	   2360.20
    497.68	    493.97	      1.70	      4.00	    747.80	   2358.80
    563.90	    625.23	      3.14	      7.38	    737.90	   2357.30
    468.00	    841.96	      1.82	      4.28	    714.70	   2354.80
    189.01	    128.58	      1.94	      4.57	    717.20	   2354.20
    989.76	     34.93	      1.49	      3.49	    686.60	   2351.30
    956.01	     95.63	      2.48	      5.82	    696.90	   2350.90
    888.02	     66.08	      1.44	      3.39	    697.60	   2349.70
    956.01	     95.63	      2.47	      5.81	    696.90	   2349.70
    969.89	    747.93	      2.26	      5.30	    703.60	   2347.90
    470.67	    296.12	      1.50	      3.53	    729.00	   2337.80
    605.80	    791.52	      2.71	      6.37	    721.20	   2337.80
    812.48	    157.95	      1.42	      3.35	    711.00	   2334.00
    656.08	    602.67	      1.42	      3.33	    731.00	   2333.00
    551.55	    462.94	      1.48	      3.49	    748.30	   2331.90
    413.06	    353.98	      1.51	      3.54	    730.90	   2326.50
    378.02	    441.64	      1.74	      4.09	    750.50	   2326.00
    360.51	    921.92	      2.57	      6.04	    715.10	   2324.80
    574.85	    649.14	      2.17	      5.10	    727.60	   2324.20
    390.37	    537.04	      1.57	      3.68	    736.60	   2322.60
   1002.20	    948.25	      1.68	      3.96	    680.90	   2322.00
    654.26	    259.16	      1.53	      3.60	    722.40	   2315.80
    790.15	    846.55	      1.53	      3.59	    707.30	   2315.30
    538.07	    885.92	      1.51	      3.55	    720.00	   2313.70
     89.92	    902.79	      2.71	      6.37	    694.70	   2309.10
    605.62	    791.52	      2.70	      6.36	    721.20	   2304.80
    605.62	    791.52	      2.70	      6.35	    721.20	   2302.40
    519.60	    423.45	      1.43	      3.35	    739.20	   2297.10
    759.27	     94.02	      1.42	      3.34	    703.70	   2296.50
    134.09	    669.95	      1.99	      4.68	    711.30	   2290.60
    302.99	    516.12	      2.65	      6.23	    733.40	   2288.00
    845.99	   1009.25	      1.77	      4.17	    688.90	   2287.80
    952.72	    218.29	      1.48	      3.49	    698.90	   2282.70
     66.15	    420.05	      2.14	      5.02	    714.90	   2281.60
    857.31	    884.93	      1.72	      4.05	    701.20	   2280.70
    345.97	    703.41	      1.61	      3.79	    729.20	   2279.80
    157.11	    684.84	      1.99	      4.68	    715.80	   2278.80
    897.94	    161.34	      1.43	      3.35	    698.30	   2277.90
    612.03	    790.69	      1.69	      3.97	    720.20	   2277.80
    819.89	    994.39	      1.82	      4.28	    695.70	   2273.70
    690.32	    657.91	      1.55	      3.65	    721.10	   2265.90
     39.99	     87.35	      2.15	      5.04	    701.20	   2265.30
    172.10	    753.98	      1.92	      4.52	    706.80	   2262.80
    310.18	     88.71	      1.87	      4.40	    718.90	   2262.20
    280.99	    162.61	      1.80	      4.23	    725.40	   2260.90
    245.06	    974.45	      2.01	      4.73	    703.10	   2259.20
     40.03	     87.11	      2.13	      5.01	    701.50	   2257.00
    714.08	     44.22	      1.80	      4.23	    710.90	   2255.00
    946.37	    961.16	      1.98	      4.66	    686.00	   2249.80
    331.59	    185.99	      1.77	      4.16	    721.30	   2248.90
    658.52	    532.01	      1.44	      3.40	    726.10	   2246.70
    854.04	    675.07	      1.35	      3.18	    711.10	   2243.50
    464.59	    224.94	      1.77	      4.16	    718.20	   2237.50
    460.64	    368.19	      2.68	      6.29	    730.50	   2234.50
    168.67	    296.96	      1.73	      4.06	    725.70	   2233.50
    680.45	    838.43	      1.82	      4.27	    705.70	   2222.50
    436.21	    321.00	      2.05	      4.82	    725.30	   2221.20
    215.36	    754.12	      2.78	      6.53	    707.80	   2221.10
    644.75	    234.18	      1.92	      4.51	    721.50	   2220.70
    344.11	    430.93	      2.85	      6.70	    758.60	   2215.80
    903.99	    494.05	      1.37	      3.23	    705.00	   2215.60
    565.05	    594.95	      1.59	      3.73	    730.00	   2214.40
    472.27	    704.12	      1.72	      4.04	    723.10	   2212.00
    463.30	     58.02	      1.82	      4.27	    705.80	   2210.10
    344.11	    430.92	      2.85	      6.69	    758.60	   2208.20
    451.04	    269.08	      1.48	      3.48	    720.90	   2206.00
    720.07	    543.14	      1.55	      3.65	    722.90	   2204.10
    346.81	     24.06	      1.69	      3.97	    708.30	   2202.80
    171.48	    550.88	      2.18	      5.13	    721.10	   2198.00
    251.10	    201.56	      1.80	      4.22	    723.20	   2197.00
     87.38	    825.92	      1.81	      4.24	    697.90	   2196.20
    434.93	    446.99	      1.40	      3.30	    753.50	   2191.40
    714.76	    577.28	      1.74	      4.10	    728.10	   2190.80
    965.43	    967.79	      1.88	      4.41	    685.10	   2188.70
    538.36	    371.02	      1.61	      3.79	    730.30	   2184.20
    466.05	    543.70	      1.40	      3.30	    745.70	   2183.70
    893.95	    326.97	      1.68	      3.94	    707.90	   2180.40
     88.05	    455.04	      1.71	      4.03	    721.30	   2173.90
    611.31	    354.85	      1.32	      3.11	    727.10	   2172.50
    515.79	    857.98	      1.91	      4.50	    710.00	   2171.60
    901.99	    527.96	      1.43	      3.37	    705.70	   2170.70
    454.08	     66.33	      1.81	      4.26	    706.50	   2170.60
    549.81	    890.26	      1.61	      3.78	    721.50	   2170.30
    308.53	     98.04	      1.94	      4.55	    715.90	   2167.40
    199.66	    833.21	      2.73	      6.42	    711.30	   2166.90
     54.95	    979.36	      1.80	      4.22	    692.90	   2162.10
    135.16	    815.85	      2.06	      4.83	    703.80	   2160.10
    884.17	    904.10	      1.52	      3.57	    703.00	   2156.60
    591.65	    227.83	      1.55	      3.64	    714.50	   2156.30
    466.03	    543.91	      1.38	      3.25	    745.50	   2153.70
    199.78	    833.07	      2.81	      6.59	    711.40	   2150.20
    413.10	    498.63	      1.65	      3.88	    747.60	   2149.70
    300.61	    480.06	      2.18	      5.12	    752.10	   2147.90
    389.99	    484.90	      2.14	      5.04	    758.50	   2132.90
    846.46	    300.44	      2.34	      5.49	    711.60	   2130.70
    714.65	    577.15	      1.71	      4.02	    728.30	   2129.20
    936.02	    492.87	      1.36	      3.20	    704.80	   2128.40
    330.76	    883.19	      3.09	      7.26	    714.80	   2128.20
    884.09	    904.21	      1.48	      3.48	    702.90	   2126.60
   1006.50	    397.46	      1.63	      3.83	    698.90	   2126.10
    292.01	    632.04	      1.70	      4.00	    722.30	   2125.40
    549.59	    890.66	      1.56	      3.66	    721.90	   2124.80
    147.12	    704.02	      1.91	      4.48	    711.90	   2124.20
    936.02	    492.66	      1.39	      3.26	    704.90	   2120.10
    553.78	    613.73	      1.42	      3.33	    735.40	   2119.90
    130.17	    744.01	      2.55	      5.99	    710.40	   2112.60
    230.57	    806.47	      1.80	      4.24	    707.60	   2110.80
    842.94	    694.03	      1.46	      3.43	    712.00	   2103.70
    735.93	    861.93	      2.21	      5.18	    702.40	   2103.20
    140.19	    952.64	      2.02	      4.74	    700.50	   2103.20
    593.99	    358.55	      1.57	      3.70	    746.80	   2100.50
    508.09	    128.57	      1.58	      3.71	    715.40	   2098.50
    554.94	    421.35	      1.34	      3.16	    734.10	   2096.30
    330.87	    883.39	      2.99	      7.03	    714.90	   2096.10
    778.79	    308.13	      1.54	      3.62	    714.50	   2093.90
    832.95	    889.63	      1.67	      3.92	    702.90	   2091.60
    420.91	    943.65	      2.17	      5.09	    704.20	   2090.80
    296.93	    804.03	      2.04	      4.79	    707.90	   2090.10
    269.09	    790.67	      1.96	      4.62	    712.40	   2089.90
    694.36	    204.84	      2.28	      5.35	    717.20	   2089.30
    330.84	    883.53	      2.99	      7.02	    714.90	   2085.90
    947.48	    999.98	      2.00	      4.69	    681.80	   2085.80
    131.61	     85.55	      2.25	      5.29	    715.60	   2083.40
    344.03	    430.83	      2.32	      5.45	    759.20	   2082.90
    335.60	    844.76	      1.72	      4.04	    715.30	   2079.30
    549.59	    890.37	      1.55	      3.65	    722.20	   2078.00
    522.68	   1010.24	      1.72	      4.03	    703.10	   2076.40
    337.03	     48.38	      1.76	      4.13	    711.60	   2074.50
    970.33	     79.00	      1.71	      4.02	    693.60	   2064.70
    712.05	    402.47	      1.78	      4.19	    721.40	   2063.60
    753.72	    702.84	      1.38	      3.23	    724.30	   2061.30
    144.74	    913.95	      1.96	      4.61	    701.30	   2059.20
    625.05	    774.98	      1.46	      3.42	    716.90	   2058.90
    281.52	     27.15	      1.88	      4.43	    708.10	   2058.40
    506.89	    355.56	      1.72	      4.05	    726.40	   2056.60
    939.14	    916.13	      2.36	      5.56	    694.60	   2055.80
    600.27	    645.88	      2.45	      5.77	    730.00	   2052.70
    988.49	    442.95	      1.42	      3.34	    703.90	   2050.80
    628.01	    826.02	      1.43	      3.35	    716.50	   2050.40
    195.17	     82.96	      1.97	      4.63	    715.00	   2049.70
     46.87	    946.31	      2.21	      5.20	    692.80	   2049.70
    423.12	    225.61	      1.80	      4.23	    727.10	   2047.30
    344.06	    685.94	      1.84	      4.32	    725.50	   2045.20
    312.35	    649.90	      2.45	      5.77	    725.40	   2044.90
    961.91	    709.66	      1.45	      3.41	    703.20	   2040.00
   1006.52	    597.99	      1.50	      3.53	    698.00	   2038.60
    340.51	    105.00	      1.77	      4.17	    714.00	   2037.50
    613.67	    841.07	      2.03	      4.77	    714.50	   2036.40
    208.16	    452.67	      1.90	      4.47	    732.90	   2026.80
    372.41	    343.75	      1.57	      3.68	    739.90	   2025.90
    632.49	    984.45	      1.75	      4.12	    705.20	   2025.90
    785.37	    999.90	      1.90	      4.47	    695.60	   2025.60
    769.06	    259.06	      1.31	      3.07	    711.70	   2023.40
    685.30	    487.85	      1.41	      3.32	    729.30	   2023.10
    723.01	     49.55	      1.52	      3.58	    707.70	   2022.80
    832.22	    354.11	      1.32	      3.10	    715.20	   2021.40
    221.00	    363.00	      1.80	      4.23	    731.20	   2021.20
     26.10	    903.30	      2.14	      5.03	    696.10	   2006.60
    331.34	    324.06	      1.73	      4.07	    731.30	   2004.60
    365.08	    635.94	      1.85	      4.35	    723.50	   2004.40
    813.59	    470.13	      2.40	      5.65	    720.50	   2004.00
    892.95	    712.90	      1.35	      3.17	    704.50	   2001.70
    480.00	    199.16	      1.42	      3.33	    714.90	   2001.00
    690.22	    483.21	      1.89	      4.44	    729.70	   2001.00
    301.72	    280.01	      1.73	      4.06	    729.40	   2000.90
    690.23	    483.21	      1.89	      4.44	    729.70	   2000.20
    194.71	    907.96	      1.79	      4.21	    701.50	   1998.10
    430.04	    829.04	      1.99	      4.67	    727.50	   1997.80
    314.21	    574.66	      2.21	      5.20	    728.20	   1994.70
    535.60	    658.92	      2.04	      4.80	    725.80	   1992.70
    312.22	    649.81	      2.45	      5.77	    725.90	   1992.10
    548.98	    208.58	      1.51	      3.55	    716.70	   1991.40
    314.22	    574.65	      2.21	      5.19	    728.30	   1990.10
    402.07	    684.22	      2.44	      5.73	    735.70	   1990.10
    494.37	    538.28	      1.79	      4.20	    744.60	   1988.60
    157.57	    187.94	      1.85	      4.34	    723.90	   1988.00
    178.05	    221.06	      1.71	      4.01	    741.70	   1985.70
    430.11	    829.20	      2.03	      4.77	    727.40	   1983.90
    729.30	     97.85	      1.46	      3.43	    711.10	   1980.00
    194.54	    249.63	      1.74	      4.08	    722.70	   1979.80
    769.72	    206.95	      1.36	      3.20	    711.00	   1978.60
    312.16	    649.81	      2.45	      5.76	    726.10	   1976.40
    262.01	    582.24	      1.97	      4.63	    736.70	   1975.30
     49.35	    353.15	      1.97	      4.64	    714.50	   1974.30
    673.27	    321.14	      1.46	      3.43	    723.60	   1972.30
    730.12	    130.34	      1.56	      3.66	    706.20	   1971.40
    889.48	    434.99	      1.48	      3.48	    713.00	   1970.10
    442.52	    173.10	      1.92	      4.52	    715.00	   1967.60
     81.94	    486.76	      2.07	      4.87	    711.80	   1966.40
    510.44	    752.55	      1.86	      4.36	    720.50	   1965.20
     63.40	    472.00	      2.25	      5.29	    718.40	   1965.00
    952.44	    196.94	      1.52	      3.57	    696.40	   1961.80
    118.77	    584.10	      1.96	      4.61	    724.20	   1961.40
    712.06	     60.59	      2.34	      5.49	    710.10	   1959.30
    173.28	    615.76	      2.19	      5.15	    722.00	   1958.10
    734.86	    557.27	      1.28	      3.00	    730.90	   1957.00
    664.83	    968.78	      1.87	      4.40	    701.80	   1956.30
    331.92	    171.87	      2.31	      5.44	    720.60	   1956.00
    421.59	    499.96	      1.62	      3.81	    749.60	   1954.90
    768.07	    667.88	      1.65	      3.87	    731.10	   1954.50
    705.63	    129.07	      1.45	      3.41	    708.70	   1947.60
    783.69	    842.26	      1.58	      3.71	    707.30	   1947.60
    173.29	    615.76	      2.19	      5.14	    722.20	   1945.90
    551.12	    773.29	      1.67	      3.94	    716.90	   1944.40
    402.06	    684.34	      2.60	      6.11	    736.30	   1943.20
    783.25	    842.63	      1.74	      4.08	    707.30	   1942.90
    490.88	    866.76	      1.94	      4.57	    721.00	   1942.10
    148.58	    583.45	      1.68	      3.96	    714.10	   1941.40
    401.97	    684.12	      2.41	      5.66	    735.70	   1936.90
    329.45	    837.94	      2.32	      5.46	    715.60	   1930.40
    158.76	    929.05	      1.98	      4.64	    697.50	   1928.90
    372.55	    839.36	      1.62	      3.81	    717.40	   1926.70
    924.22	    726.79	      2.02	      4.75	    706.30	   1926.30
    102.28	    819.16	      1.97	      4.64	    704.80	   1923.50
    713.47	   1009.24	      2.66	      6.25	    696.20	   1922.60
    490.89	    866.64	      1.94	      4.56	    721.30	   1922.10
    682.83	    500.36	      2.02	      4.74	    725.30	   1916.80
