Refer to https://github.com/lutherastrophysics/new_ref_file for more info
Star Data Extractor Tool
    Images: m23_3.5_071.fit (2003) and m23_7.0_2022-06-19_0028.fit
    Stars Found: 2508 (good stars) in 2003 img + 1246 in 2022
    Radius of star diaphragm:
    Sky annulus inner radius:
    Sky annulus outer radius:
    Threshold factor: High =
         X	         Y	     Sigma	      FWHM	   Sky ADU	  Star ADU
    131.10	    850.64	      1.94	      4.55	    704.60	  60933.30
    403.44	    941.50	      1.84	      4.31	    715.40	  60915.90
    568.73	    337.23	      1.37	      3.22	    726.90	  59156.70
    490.31	     47.04	      1.51	      3.54	    709.10	  59139.50
    832.91	    613.54	      1.32	      3.09	    718.80	  59139.30
    738.30	    695.75	      1.51	      3.56	    723.10	  58089.40
    786.68	    181.10	      1.30	      3.06	    710.20	  56755.20
    510.04	    179.33	      1.43	      3.36	    717.30	  56727.60
    808.47	    976.57	      1.68	      3.96	    697.20	  56360.40
    674.36	    800.91	      1.55	      3.64	    715.50	  54720.00
    145.74	     67.64	      1.75	      4.12	    717.80	  54215.20
    267.29	    479.99	      1.70	      4.00	    741.20	  53869.40
    472.87	    242.84	      1.36	      3.20	    718.30	  51499.10
    676.43	    569.56	      1.42	      3.33	    724.80	  51186.00
    574.21	     78.88	      1.48	      3.49	    712.40	  50256.60
    489.05	    571.67	      1.53	      3.59	    750.00	  49571.70
    521.11	    626.65	      1.40	      3.30	    736.70	  48193.30
    652.41	    157.58	      1.45	      3.40	    717.50	  48020.20
    646.16	    704.30	      1.71	      4.02	    725.80	  47676.40
    309.35	    390.00	      1.66	      3.91	    747.20	  47263.00
    486.55	    514.91	      1.44	      3.39	    746.80	  46958.00
    161.64	    542.02	      1.68	      3.94	    726.10	  45809.00
    689.97	    769.98	      1.45	      3.41	    716.40	  45572.90
    403.17	    363.60	      1.52	      3.57	    736.60	  45320.50
    492.34	    551.56	      1.46	      3.44	    739.60	  45095.20
    305.64	    445.95	      1.54	      3.63	    752.50	  44940.20
    895.94	    614.00	      1.31	      3.08	    710.60	  44852.80
    581.52	    705.47	      1.50	      3.53	    722.10	  44312.50
    935.50	    683.92	      1.56	      3.66	    700.30	  44116.10
    714.03	    630.99	      1.34	      3.15	    723.20	  43943.30
    961.52	    591.96	      1.40	      3.30	    701.20	  43827.00
    720.46	    486.32	      1.44	      3.38	    730.90	  43774.40
    723.84	    435.22	      1.22	      2.88	    728.20	  43654.70
    397.45	    653.38	      1.59	      3.73	    730.20	  43618.10
    310.51	     44.40	      1.77	      4.16	    713.60	  43232.30
    992.99	    724.03	      1.42	      3.35	    704.50	  42495.00
    943.31	    577.95	      1.35	      3.18	    704.70	  42266.10
    407.15	    450.43	      1.47	      3.44	    752.50	  42205.50
     73.33	    119.07	      1.94	      4.55	    711.20	  41763.90
    105.60	    862.38	      1.84	      4.33	    701.70	  41334.30
    495.40	    672.85	      1.53	      3.59	    730.90	  40881.50
    456.43	    301.43	      1.54	      3.61	    751.90	  40756.20
     18.93	    839.16	      1.95	      4.59	    696.20	  40751.40
    217.43	    645.43	      1.78	      4.19	    718.30	  40096.00
    432.50	    809.94	      1.68	      3.96	    714.40	  39923.20
